participant_id, counterbalance,session,trial_number, threatcond,gain_value, lose_value, sure_value, gamble_position, shockport, startleport, choice, time,Gamble?
101,1,1,0, threat,14,-14,0, gamble_left, no shock,999, left,3.528957943,y
101,1,1,1, threat,16,-14,-2, gamble_right, no shock,999, right,2.058987902,y
101,1,1,2, threat,20,-15,-2, gamble_left, no shock,999, No Selection, No Time,999
101,1,1,3, threat,20,-14,15, gamble_left, no shock,999, right,1.295833011,n
101,1,1,4, threat,28,-10,18, gamble_left, no shock,999, right,0.924262908,n
101,1,1,5, threat,40,-8,8, gamble_left, no shock,999, right,2.555604382,n
101,1,1,6, threat,30,-20,11, gamble_right, no shock,999, left,3.033987894,n
101,1,1,7, threat,28,-5,11, gamble_left, no shock,999, left,3.34544521,y
101,1,1,8, threat,24,-13,13, gamble_right, no shock,999, left,1.767474364,n
101,1,1,9, threat,26,-15,3, gamble_right, no shock,999, right,1.101687204,y
101,1,1,10, threat,32,-16,2, gamble_left, no shock,999, left,1.032057209,y
101,1,1,11, threat,40,-5,6, gamble_left, no shock,999, left,1.894217244,y
101,1,1,12, threat,32,-20,6, gamble_right, no shock,999, right,3.352444254,y
101,1,1,13, safe,34,-13,4, gamble_left, no shock,999, left,1.84803257,y
101,1,1,14, safe,38,-10,3, gamble_right, no shock,999, right,1.545631872,y
101,1,1,15, safe,26,-15,-2, gamble_left, no shock,999, left,1.606415174,y
101,1,1,16, safe,36,-7,-1, gamble_right, no shock,999, right,2.427906423,y
101,1,1,17, safe,20,-20,1, gamble_right, no shock,999, right,1.41710883,y
101,1,1,18, safe,20,-19,17, gamble_right, no shock,999, left,0.851725068,n
101,1,1,19, safe,36,-13,14, gamble_left, no shock,999, right,1.244946335,n
101,1,1,20, safe,28,-14,9, gamble_right, no shock,999, left,2.434002324,n
101,1,1,21, safe,30,-13,9, gamble_right, no shock,999, right,1.21675765,y
101,1,1,22, safe,14,-13,2, gamble_left, no shock,999, left,1.290129901,y
101,1,1,23, safe,14,-9,-5, gamble_right, no shock,999, right,1.375910412,y
101,1,1,24, safe,24,-19,-1, gamble_right, no shock,999, right,1.785874028,y
101,1,1,25, threat,24,-10,5, gamble_right, no shock,999, right,1.193520698,y
101,1,1,26, threat,36,-15,3, gamble_left, no shock,999, left,1.040753067,y
101,1,1,27, threat,20,-5,13, gamble_right, no shock,999, left,1.239864292,n
101,1,1,28, threat,40,-14,3, gamble_left, no shock,999, left,1.620586489,y
101,1,1,29, threat,14,-13,11, gamble_left, no shock,999, right,0.833383871,n
101,1,1,30, threat,36,-16,10, gamble_left, no shock,999, right,2.088399127,n
101,1,1,31, threat,26,-19,1, gamble_left, no shock,999, left,0.850842762,y
101,1,1,33, threat,40,-17,1, gamble_left, no shock,999, left,1.332382919,y
101,1,1,34, threat,18,-12,1, gamble_left, no shock,999, left,1.557176796,y
101,1,1,35, threat,10,-9,-1, gamble_right, no shock,999, right,1.793926428,y
101,1,1,36, threat,10,-6,12, gamble_left, no shock,999, right,0.785778241,n
101,1,1,37, safe,10,-9,8, gamble_left, no shock,999, right,0.966715276,n
101,1,1,38, safe,22,-11,2, gamble_right, no shock,999, right,1.278135894,y
101,1,1,39, safe,26,-20,12, gamble_left, no shock,999, right,0.779538346,n
101,1,1,40, safe,10,-12,17, gamble_right, no shock,999, left,0.829248821,n
101,1,1,41, safe,20,-8,-3, gamble_left, no shock,999, left,1.221835028,y
101,1,1,42, safe,20,-14,18, gamble_left, no shock,999, right,0.743143005,n
101,1,1,43, safe,10,-9,5, gamble_left, no shock,999, right,1.572867966,n
101,1,1,44, safe,18,-16,13, gamble_right, no shock,999, left,1.026374626,n
101,1,1,45, safe,18,-5,17, gamble_right, no shock,999, left,0.675499053,n
101,1,1,46, safe,10,-5,-4, gamble_left, no shock,999, left,2.105146451,y
101,1,1,47, safe,38,-6,15, gamble_left, no shock,999, right,1.429447425,n
101,1,1,48, safe,12,-14,14, gamble_left, no shock,999, right,1.026871603,n
