# participant_id, threatcond, gain_value, lose_value, time, Gamble?, group
39,safe,40,8,1280,y,healthy
39,safe,24,13,1392,y,healthy
39,safe,34,11,1912,n,healthy
39,safe,14,19,1444,n,healthy
39,safe,40,5,1180,y,healthy
39,safe,26,16,1440,y,healthy
39,safe,18,7,1777,y,healthy
39,safe,12,18,1681,n,healthy
39,safe,18,6,1549,y,healthy
39,safe,18,14,1397,y,healthy
39,safe,16,5,1624,y,healthy
39,safe,32,5,1296,y,healthy
39,safe,36,17,1858,y,healthy
39,safe,12,5,1218,y,healthy
39,safe,40,17,866,y,healthy
39,safe,24,20,1573,n,healthy
39,safe,14,5,949,y,healthy
39,safe,34,5,1081,y,healthy
39,safe,18,18,1226,n,healthy
39,safe,28,18,1234,n,healthy
39,safe,40,19,1190,y,healthy
39,safe,38,11,1967,y,healthy
39,safe,34,9,910,y,healthy
39,safe,10,19,1534,n,healthy
39,safe,40,9,1658,y,healthy
39,safe,16,9,1611,n,healthy
39,safe,26,14,1815,n,healthy
39,safe,34,8,1631,y,healthy
39,safe,26,15,1746,n,healthy
39,safe,14,9,1930,y,healthy
39,safe,40,12,1282,y,healthy
39,safe,12,8,1626,n,healthy
39,safe,30,7,1079,y,healthy
39,safe,32,18,1759,n,healthy
39,safe,36,11,1315,y,healthy
39,safe,24,17,1348,y,healthy
39,safe,30,5,1247,y,healthy
39,safe,32,6,1191,y,healthy
39,safe,14,12,1431,n,healthy
39,safe,20,11,1875,y,healthy
39,safe,40,11,1108,y,healthy
39,safe,20,14,1368,y,healthy
39,safe,10,16,1212,n,healthy
39,safe,38,16,1308,y,healthy
39,safe,14,18,1248,n,healthy
39,safe,22,14,1856,y,healthy
39,safe,30,14,1940,y,healthy
39,safe,20,20,1413,n,healthy
39,safe,28,14,1017,y,healthy
39,safe,40,16,1129,y,healthy
39,safe,14,11,1232,y,healthy
39,safe,10,20,1201,n,healthy
39,safe,16,13,1885,y,healthy
39,safe,10,15,1365,n,healthy
39,safe,16,6,1509,y,healthy
39,safe,18,19,1330,n,healthy
39,safe,30,19,1450,y,healthy
39,safe,28,11,1482,y,healthy
39,safe,16,17,1174,n,healthy
39,safe,24,11,1151,y,healthy
39,safe,14,8,1503,y,healthy
39,safe,38,19,1475,y,healthy
39,safe,28,9,1259,y,healthy
39,safe,34,10,730,y,healthy
39,safe,40,13,1071,y,healthy
39,safe,34,18,1487,n,healthy
39,safe,36,16,1847,y,healthy
39,safe,18,12,1535,y,healthy
39,safe,36,8,1091,y,healthy
39,safe,38,18,1252,n,healthy
39,safe,20,16,1523,n,healthy
39,safe,36,12,1235,y,healthy
39,safe,32,13,1035,y,healthy
39,safe,24,19,1287,n,healthy
39,safe,16,7,935,y,healthy
39,safe,12,12,1296,n,healthy
39,safe,32,10,1483,y,healthy
39,safe,40,15,1307,y,healthy
39,safe,28,15,1355,y,healthy
39,safe,28,5,1128,y,healthy
39,safe,10,8,1092,n,healthy
39,safe,24,18,1572,n,healthy
39,safe,32,19,1620,y,healthy
39,safe,10,17,1703,n,healthy
39,safe,22,16,1839,y,healthy
39,safe,32,12,1376,y,healthy
39,safe,30,11,908,y,healthy
39,safe,30,20,1240,n,healthy
39,safe,20,12,1655,y,healthy
39,safe,34,13,1256,y,healthy
39,safe,18,16,1348,n,healthy
39,safe,10,18,1412,n,healthy
39,safe,34,12,1460,y,healthy
39,safe,20,10,1816,n,healthy
39,safe,14,6,1281,y,healthy
39,safe,16,11,1328,y,healthy
39,safe,22,9,1748,y,healthy
39,safe,30,10,1220,y,healthy
39,safe,26,9,1046,y,healthy
39,safe,32,11,1279,y,healthy
39,safe,34,16,1021,y,healthy
39,safe,26,6,1090,y,healthy
39,safe,18,5,705,y,healthy
39,safe,32,16,1202,y,healthy
39,safe,18,20,1590,n,healthy
39,safe,26,11,867,y,healthy
39,safe,16,16,1179,n,healthy
39,safe,24,10,890,y,healthy
39,safe,16,14,1510,n,healthy
39,safe,18,9,1266,y,healthy
39,safe,20,13,1443,y,healthy
39,safe,24,14,1575,y,healthy
39,safe,34,19,1675,y,healthy
39,safe,20,9,951,y,healthy
39,safe,28,8,1128,y,healthy
39,safe,32,8,992,y,healthy
39,safe,30,6,1592,y,healthy
39,safe,14,17,1645,n,healthy
39,safe,30,9,1083,y,healthy
39,safe,24,15,1468,n,healthy
39,safe,26,12,1296,y,healthy
39,safe,30,17,976,y,healthy
39,safe,38,10,1116,y,healthy
39,safe,20,15,1637,y,healthy
39,safe,30,8,1145,y,healthy
39,safe,22,7,1649,y,healthy
39,safe,14,16,1446,n,healthy
39,safe,30,15,1182,y,healthy
39,safe,30,18,1458,y,healthy
39,safe,18,17,1394,n,healthy
39,safe,24,12,1455,y,healthy
39,safe,22,10,1830,y,healthy
39,safe,12,11,1711,n,healthy
39,safe,32,20,1387,n,healthy
39,safe,16,12,1266,y,healthy
39,safe,14,20,1270,n,healthy
39,safe,30,13,1766,y,healthy
39,safe,34,7,1811,y,healthy
39,safe,40,7,1355,y,healthy
39,safe,10,6,1463,y,healthy
39,safe,12,19,1608,n,healthy
39,safe,14,14,1888,n,healthy
39,safe,22,17,1860,n,healthy
39,safe,38,15,1131,y,healthy
39,safe,38,12,1667,y,healthy
39,safe,22,18,1416,n,healthy
39,safe,16,10,1312,y,healthy
39,safe,20,6,992,y,healthy
39,safe,24,8,708,y,healthy
39,safe,24,16,1316,n,healthy
39,safe,32,17,1664,n,healthy
39,safe,14,15,1752,n,healthy
39,safe,36,9,959,y,healthy
39,safe,28,20,1276,n,healthy
39,safe,14,7,1044,y,healthy
39,safe,24,9,1162,y,healthy
39,safe,36,18,1030,y,healthy
39,safe,38,7,1206,y,healthy
39,safe,40,18,1458,y,healthy
39,safe,12,15,1377,n,healthy
39,safe,38,9,1262,y,healthy
39,safe,36,7,1222,y,healthy
39,safe,36,14,1010,y,healthy
39,safe,10,13,1170,y,healthy
39,safe,38,8,1186,y,healthy
39,safe,18,15,1593,y,healthy
39,safe,16,20,1974,n,healthy
39,safe,36,6,1811,y,healthy
39,safe,26,20,1194,n,healthy
39,safe,40,10,1230,y,healthy
39,safe,22,20,1254,n,healthy
39,safe,14,13,1306,n,healthy
39,safe,20,8,1595,y,healthy
39,safe,34,17,1490,y,healthy
39,safe,22,8,707,y,healthy
39,safe,20,5,855,y,healthy
39,safe,34,6,670,y,healthy
39,safe,26,19,1298,n,healthy
39,safe,10,9,1699,y,healthy
39,safe,22,11,1338,y,healthy
39,safe,10,10,1867,y,healthy
39,safe,12,10,1919,y,healthy
39,safe,28,12,1096,y,healthy
39,safe,26,8,844,y,healthy
39,safe,36,10,1180,y,healthy
39,safe,28,19,644,y,healthy
39,safe,22,13,1617,y,healthy
39,safe,26,17,1585,y,healthy
39,safe,16,15,1465,n,healthy
39,safe,22,6,1322,y,healthy
39,safe,22,5,1269,y,healthy
39,safe,18,11,1229,y,healthy
39,safe,28,13,1325,y,healthy
39,safe,32,15,1817,y,healthy
39,safe,36,5,1017,y,healthy
39,safe,16,8,706,y,healthy
39,safe,34,15,1289,y,healthy
39,safe,12,7,1398,y,healthy
39,safe,36,20,1686,n,healthy
39,safe,26,5,1090,y,healthy
39,safe,24,5,1066,y,healthy
39,safe,32,9,675,y,healthy
39,safe,38,13,731,y,healthy
39,safe,14,10,1810,y,healthy
39,safe,34,14,1390,y,healthy
39,safe,32,14,1094,y,healthy
39,safe,40,14,1627,y,healthy
39,safe,24,7,1995,y,healthy
39,safe,26,10,1671,y,healthy
39,safe,26,13,1032,y,healthy
39,safe,18,8,1022,y,healthy
39,safe,12,17,1314,n,healthy
39,safe,24,6,1608,y,healthy
39,safe,36,13,1292,y,healthy
39,safe,36,19,1349,y,healthy
39,safe,28,10,1412,y,healthy
39,safe,12,14,1236,n,healthy
39,safe,10,5,1640,y,healthy
39,safe,28,6,1096,y,healthy
39,safe,38,5,1737,y,healthy
39,safe,16,19,1165,n,healthy
39,safe,30,12,1365,y,healthy
39,safe,38,17,1637,y,healthy
39,safe,30,16,1233,y,healthy
39,safe,12,20,1281,n,healthy
39,safe,26,7,1001,y,healthy
39,safe,10,12,1213,n,healthy
39,threat,24,20,1874,y,healthy
39,threat,30,12,1279,y,healthy
39,threat,14,6,1495,y,healthy
39,threat,24,12,1242,y,healthy
39,threat,20,14,1827,y,healthy
39,threat,18,7,1539,y,healthy
39,threat,38,6,1351,y,healthy
39,threat,38,17,1928,n,healthy
39,threat,10,10,1852,n,healthy
39,threat,40,13,1739,y,healthy
39,threat,20,18,1791,n,healthy
39,threat,20,19,1421,n,healthy
39,threat,38,8,1089,y,healthy
39,threat,28,6,1009,y,healthy
39,threat,34,19,1397,n,healthy
39,threat,24,17,1292,n,healthy
39,threat,26,5,1000,y,healthy
39,threat,26,6,1137,y,healthy
39,threat,20,13,1373,n,healthy
39,threat,16,19,1821,n,healthy
39,threat,28,20,1774,n,healthy
39,threat,14,19,1253,n,healthy
39,threat,30,10,1217,y,healthy
39,threat,16,18,1729,n,healthy
39,threat,24,14,1241,y,healthy
39,threat,40,20,1050,y,healthy
39,threat,22,8,1199,y,healthy
39,threat,36,19,1807,y,healthy
39,threat,38,7,1030,y,healthy
39,threat,16,9,1295,y,healthy
39,threat,36,11,979,y,healthy
39,threat,24,15,1764,n,healthy
39,threat,14,5,1639,n,healthy
39,threat,12,11,1540,n,healthy
39,threat,34,6,971,y,healthy
39,threat,12,14,1811,y,healthy
39,threat,34,7,1215,y,healthy
39,threat,32,10,1250,y,healthy
39,threat,40,17,1354,y,healthy
39,threat,22,11,1490,y,healthy
39,threat,14,12,1471,n,healthy
39,threat,36,5,1136,y,healthy
39,threat,24,13,1576,y,healthy
39,threat,14,7,1600,y,healthy
39,threat,24,5,1460,y,healthy
